,time,scan_mode,scan_name,template_name,azimuth_min,azimuth_max,elevation_min,elevation_max,range_min,range_max,cell_azimuth,cell_range,cell_zh,ngates_gt_0,ngates_gt_10,ngates_gt_30,ngates_gt_50,ngates_gt_10_5km,ngates_gt40_5km,ngates
0,2022-08-22 00:00:25,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7800293,182.99927,0.0,109900.0,84.4793701171875,49200.0,27.568192,62,7,0,0,0,0,233
1,2022-08-22 00:05:06,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.80200195,178.7915,0.0,109900.0,63.0999755859375,1200.0,1.2478027,1,0,0,0,0,0,5
2,2022-08-22 00:05:58,ppi,ppi,hou-ppi-tracer,0.54382324,359.5523,0.38452148,3.0871582,0.0,109900.0,134.5770263671875,26400.0,43.501633,315,274,62,0,0,0,315
3,2022-08-22 00:07:56,vpt,vpt,hou-vpt-tracer,0.5657959,359.54132,89.70337,90.05493,0.0,19900.0,88.5662841796875,1200.0,0.83984375,1,0,0,0,0,0,9
4,2022-08-22 00:10:18,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7800293,182.99927,0.0,109900.0,114.4720458984375,11900.0,10.689997,449,2,0,0,2,0,629
5,2022-08-22 00:14:59,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.7915,0.0,109900.0,63.0999755859375,40400.0,39.291336,191,175,54,0,0,0,207
6,2022-08-22 00:15:51,ppi,ppi,hou-ppi-tracer,0.54107666,359.58527,0.38452148,3.0871582,0.0,109900.0,123.5467529296875,23000.0,44.593494,305,260,33,0,0,0,306
7,2022-08-22 00:17:49,vpt,vpt,hou-vpt-tracer,0.5657959,359.50836,89.69238,90.06592,0.0,19900.0,67.5604248046875,8900.0,2.068779,8,0,0,0,0,0,56
8,2022-08-22 00:20:25,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.51599,0.7800293,182.99927,0.0,109900.0,144.547119140625,32300.0,20.271336,905,71,0,0,0,0,1407
9,2022-08-22 00:25:06,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.75854,0.0,109900.0,63.0999755859375,9400.0,6.9930286,94,0,0,0,0,0,191
10,2022-08-22 00:25:58,ppi,ppi,hou-ppi-tracer,0.54382324,359.5633,0.38452148,3.1091309,0.0,109900.0,199.5391845703125,33500.0,38.055923,520,445,19,0,0,0,520
11,2022-08-22 00:27:56,vpt,vpt,hou-vpt-tracer,0.5218506,359.5523,89.60449,90.05493,0.0,19900.0,306.53228759765625,9200.0,9.541653,935,0,0,0,0,0,1466
12,2022-08-22 00:30:18,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.63684,0.7800293,182.99927,0.0,109900.0,204.4720458984375,33500.0,27.017387,1300,54,0,0,0,0,2174
13,2022-08-22 00:34:59,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.76953,0.0,109900.0,63.0999755859375,8600.0,7.952446,193,0,0,0,0,0,384
14,2022-08-22 00:35:52,ppi,ppi,hou-ppi-tracer,0.519104,359.5633,0.38452148,3.1091309,0.0,109900.0,194.5404052734375,47800.0,50.551025,328,274,51,2,0,0,328
15,2022-08-22 00:37:51,vpt,vpt,hou-vpt-tracer,0.5328369,359.5633,89.6814,90.05493,0.0,19900.0,5.5535888671875,8200.0,6.1903114,841,0,0,0,0,0,1877
16,2022-08-22 00:40:24,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.61487,0.7800293,182.99927,0.0,109900.0,114.5159912109375,30800.0,14.087248,458,9,0,0,0,0,1102
17,2022-08-22 00:45:05,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.76953,0.0,109900.0,63.0999755859375,8300.0,5.751148,74,0,0,0,0,0,199
18,2022-08-22 00:45:57,ppi,ppi,hou-ppi-tracer,0.5548096,359.57428,0.38452148,3.1091309,0.0,109900.0,196.5509033203125,44900.0,42.37209,335,325,62,0,0,0,335
19,2022-08-22 00:47:56,vpt,vpt,hou-vpt-tracer,0.5548096,359.58527,89.67041,90.05493,0.0,19900.0,183.5540771484375,8300.0,6.721695,389,0,0,0,0,0,717
20,2022-08-22 00:50:18,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.76904297,182.99927,0.0,109900.0,174.4793701171875,68200.0,33.148933,172,7,4,0,0,0,518
21,2022-08-22 00:55:01,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.78052,0.0,109900.0,63.0999755859375,10500.0,6.4084435,20,0,0,0,0,0,52
22,2022-08-22 00:55:53,ppi,ppi,hou-ppi-tracer,0.519104,359.57428,0.38452148,3.1311035,0.0,109900.0,354.55352783203125,69600.0,44.410797,509,481,73,0,0,0,509
23,2022-08-22 00:57:52,vpt,vpt,hou-vpt-tracer,0.54107666,359.53857,89.6814,90.05493,0.0,19900.0,,,,0,0,0,0,0,0,0
24,2022-08-22 01:00:23,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.60388,0.7800293,182.99927,0.0,109900.0,174.4793701171875,72400.0,41.830116,115,32,9,0,0,0,244
25,2022-08-22 01:05:04,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.7915,0.0,109900.0,63.0999755859375,11400.0,7.748726,43,0,0,0,0,0,55
26,2022-08-22 01:05:56,ppi,ppi,hou-ppi-tracer,0.5328369,359.59625,0.38452148,3.1091309,0.0,109900.0,345.55572509765625,48200.0,41.854076,697,664,49,0,0,0,697
27,2022-08-22 01:07:55,vpt,vpt,hou-vpt-tracer,0.5657959,359.54132,89.69238,90.05493,0.0,19900.0,141.5313720703125,800.0,-3.801876,0,0,0,0,0,0,4
28,2022-08-22 01:10:19,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7800293,182.99927,0.0,109900.0,174.4793701171875,69400.0,37.378853,94,44,5,0,0,0,500
29,2022-08-22 01:15:00,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.76953,0.0,109900.0,63.0780029296875,44000.0,44.12098,317,300,76,0,0,0,331
30,2022-08-22 01:15:52,ppi,ppi,hou-ppi-tracer,0.54382324,359.57428,0.38452148,3.1091309,0.0,109900.0,63.5174560546875,37900.0,48.339348,1733,1665,322,0,0,0,1733
31,2022-08-22 01:17:51,vpt,vpt,hou-vpt-tracer,0.54382324,359.5523,89.69238,90.05493,0.0,19900.0,0.5438232421875,9700.0,5.8163795,41,0,0,0,0,0,104
32,2022-08-22 01:20:24,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.62585,0.7800293,182.99927,0.0,109900.0,174.4793701171875,53700.0,35.262215,42,20,6,0,0,0,197
33,2022-08-22 01:25:05,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.7915,0.0,109900.0,63.0780029296875,39600.0,33.657394,183,179,7,0,0,0,193
34,2022-08-22 01:25:57,ppi,ppi,hou-ppi-tracer,0.5328369,359.54132,0.38452148,3.1091309,0.0,109900.0,56.5521240234375,42500.0,49.533962,2087,2028,601,0,0,0,2087
35,2022-08-22 01:27:56,vpt,vpt,hou-vpt-tracer,0.5767822,359.5633,89.69238,90.05493,0.0,19900.0,37.5677490234375,1200.0,-9.358374,0,0,0,0,0,0,13
