,time,scan_mode,scan_name,template_name,azimuth_min,azimith_max,elevation_min,elevation_max,cell_azimuth,cell_range,cell_zh
0,2022-06-10 00:00:27,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.4866943359375,204.6038818359375,0.780029296875,182.999267578125,114.4940185546875,800.0,7.528848648071289
1,2022-06-10 00:05:09,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.0780029296875,63.1219482421875,0.780029296875,178.76953125,63.1219482421875,4100.0,0.2167797088623047
2,2022-06-10 00:06:01,ppi,ppi,hou-ppi-tracer,0.54107666015625,359.56329345703125,0.384521484375,3.1201171875,,,
3,2022-06-10 00:08:00,vpt,vpt,hou-vpt-tracer,0.5438232421875,359.56329345703125,89.6923828125,90.076904296875,263.59771728515625,3100.0,3.285205841064453
4,2022-06-10 00:10:15,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.4647216796875,204.5159912109375,0.780029296875,182.999267578125,114.4940185546875,800.0,8.68789291381836
5,2022-06-10 00:14:52,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.0780029296875,63.1219482421875,0.802001953125,178.780517578125,63.1219482421875,3600.0,1.9190502166748047
6,2022-06-10 00:15:44,ppi,ppi,hou-ppi-tracer,0.51910400390625,359.56329345703125,0.384521484375,3.131103515625,62.5616455078125,2100.0,-8.45707893371582
7,2022-06-10 00:17:42,vpt,vpt,hou-vpt-tracer,0.51910400390625,359.549560546875,89.703369140625,90.076904296875,266.54205322265625,4000.0,3.7969093322753906
8,2022-06-10 00:20:27,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.4866943359375,204.6148681640625,0.780029296875,183.01025390625,114.4940185546875,800.0,7.569847106933594
9,2022-06-10 00:25:06,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.0780029296875,63.1219482421875,0.802001953125,178.79150390625,63.1219482421875,4000.0,0.7785415649414062
10,2022-06-10 00:25:58,ppi,ppi,hou-ppi-tracer,0.5218505859375,359.58526611328125,0.384521484375,3.131103515625,358.57452392578125,7500.0,8.67426872253418
11,2022-06-10 00:27:56,vpt,vpt,hou-vpt-tracer,0.5218505859375,359.54132080078125,89.71435546875,90.076904296875,159.5379638671875,3900.0,5.417083740234375
12,2022-06-10 00:30:18,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.4866943359375,204.5928955078125,0.780029296875,182.999267578125,114.4940185546875,800.0,7.845279693603516
13,2022-06-10 00:34:58,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.0780029296875,63.1219482421875,0.802001953125,178.780517578125,63.1219482421875,4000.0,2.136798858642578
14,2022-06-10 00:35:50,ppi,ppi,hou-ppi-tracer,0.5218505859375,359.54132080078125,0.384521484375,3.175048828125,,,
15,2022-06-10 00:37:49,vpt,vpt,hou-vpt-tracer,0.5657958984375,359.58526611328125,89.6923828125,90.076904296875,331.52618408203125,3100.0,3.260578155517578
16,2022-06-10 00:40:25,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.4647216796875,204.5159912109375,0.780029296875,182.999267578125,174.4793701171875,8200.0,8.950380325317383
17,2022-06-10 00:45:08,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.0780029296875,63.0999755859375,0.791015625,178.79150390625,63.0999755859375,2500.0,6.294477462768555
18,2022-06-10 00:46:00,ppi,ppi,hou-ppi-tracer,0.5218505859375,359.55230712890625,0.384521484375,3.131103515625,,,
19,2022-06-10 00:47:59,vpt,vpt,hou-vpt-tracer,0.54107666015625,359.5166015625,89.703369140625,90.076904296875,124.5355224609375,3000.0,7.881160736083984
20,2022-06-10 00:50:16,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.4866943359375,204.5159912109375,0.780029296875,182.999267578125,204.5159912109375,4100.0,9.135686874389648
21,2022-06-10 00:55:01,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.0780029296875,63.0999755859375,0.791015625,178.780517578125,63.0999755859375,3800.0,5.823699951171875
22,2022-06-10 00:55:53,ppi,ppi,hou-ppi-tracer,0.5328369140625,359.55230712890625,0.384521484375,3.197021484375,358.55255126953125,7500.0,7.6831512451171875
23,2022-06-10 00:57:52,vpt,vpt,hou-vpt-tracer,0.54107666015625,359.5166015625,89.6923828125,90.076904296875,171.5899658203125,2600.0,5.121685028076172
24,2022-06-10 01:00:23,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.4866943359375,204.5159912109375,0.780029296875,182.999267578125,174.495849609375,2300.0,17.22065544128418
25,2022-06-10 01:05:05,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.0780029296875,63.0999755859375,0.780029296875,178.76953125,63.0999755859375,1200.0,2.4632701873779297
26,2022-06-10 01:05:57,ppi,ppi,hou-ppi-tracer,0.54107666015625,359.56329345703125,0.384521484375,3.197021484375,,,
27,2022-06-10 01:07:55,vpt,vpt,hou-vpt-tracer,0.5218505859375,359.54132080078125,89.703369140625,90.076904296875,334.53643798828125,2400.0,9.50823974609375
28,2022-06-10 01:10:19,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.4866943359375,204.5159912109375,0.780029296875,182.999267578125,114.4940185546875,800.0,7.289772033691406
29,2022-06-10 01:15:02,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.0780029296875,63.1219482421875,0.791015625,178.780517578125,63.1219482421875,800.0,3.144777297973633
30,2022-06-10 01:15:55,ppi,ppi,hou-ppi-tracer,0.5218505859375,359.55230712890625,0.384521484375,3.131103515625,,,
