,time,scan_mode,scan_name,template_name,azimuth_min,azimuth_max,elevation_min,elevation_max,range_min,range_max,cell_azimuth,cell_range,cell_zh,ngates_gt_0,ngates_gt_10,ngates_gt_30,ngates_gt_50,ngates_gt_10_5km,ngates_gt40_5km,ngates
0,2022-06-24 00:00:05.335,ppi,ppi,hou-ppi-cell-track-05-deg,325.14038,335.34943,2.9992676,3.5046387,0.0,109900.0,327.6068115234375,29700.0,37.300423,28,14,1,0,0,0,37
1,2022-06-24 00:00:27.000,rhi,rhi,hou-rhi-cell-track-05-deg,330.24353,330.28748,0.63720703,4.383545,0.0,109900.0,330.2655029296875,3000.0,13.559498,5,2,0,0,0,0,5
2,2022-06-24 00:00:42.000,rhi,rhi,hou-rhi-cell-track-05-deg,331.64978,331.64978,0.63720703,4.383545,0.0,109900.0,331.6497802734375,3000.0,14.941227,3,1,0,0,0,0,3
3,2022-06-24 00:00:57.000,rhi,rhi,hou-rhi-cell-track-05-deg,331.73767,331.73767,0.63720703,4.383545,0.0,109900.0,331.7376708984375,3000.0,23.90889,3,2,0,0,0,0,3
4,2022-06-24 00:01:13.000,rhi,rhi,hou-rhi-cell-track-05-deg,331.49597,331.49597,0.63720703,4.3945312,0.0,109900.0,331.4959716796875,55200.0,14.024582,4,4,0,0,0,0,6
5,2022-06-24 00:10:14.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.53796,0.7800293,182.99927,0.0,109900.0,54.5306396484375,55900.0,16.428532,389,12,0,0,0,0,844
6,2022-06-24 00:14:54.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.05603,63.12195,0.7910156,178.75854,0.0,109900.0,63.1219482421875,4500.0,6.460932,21,0,0,0,0,0,102
7,2022-06-24 00:15:47.000,ppi,ppi,hou-ppi-tracer,0.5218506,359.58527,0.38452148,3.1311035,0.0,109900.0,54.5416259765625,58300.0,34.196217,60,60,3,0,0,0,60
8,2022-06-24 00:17:45.000,vpt,vpt,hou-vpt-tracer,0.5328369,359.50836,89.61548,90.076904,0.0,19900.0,156.5826416015625,3900.0,7.762741,138,0,0,0,0,0,744
9,2022-06-24 00:20:29.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7800293,182.99927,0.0,109900.0,54.4647216796875,57800.0,27.921314,346,68,0,0,0,0,747
10,2022-06-24 00:25:10.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.12195,0.80200195,178.7915,0.0,109900.0,63.1219482421875,3700.0,6.737755,14,0,0,0,0,0,71
11,2022-06-24 00:26:02.000,ppi,ppi,hou-ppi-tracer,0.5548096,359.57428,0.38452148,3.1311035,0.0,109900.0,55.5084228515625,57500.0,28.944748,324,321,0,0,0,0,324
12,2022-06-24 00:28:00.000,vpt,vpt,hou-vpt-tracer,0.5767822,359.58527,89.69238,90.076904,0.0,19900.0,172.5677490234375,4400.0,7.238186,327,0,0,0,0,0,773
13,2022-06-24 00:30:13.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7800293,182.99927,0.0,109900.0,144.4866943359375,3900.0,11.231855,296,8,0,0,0,0,755
14,2022-06-24 00:35:27.000,ppi,ppi,hou-ppi-cell-track-05-deg,325.849,335.87952,2.9992676,3.988037,0.0,109900.0,330.91094970703125,3000.0,24.572563,28,8,0,0,0,0,44
15,2022-06-24 00:35:58.000,rhi,rhi,hou-rhi-cell-track-05-deg,330.79285,330.79285,0.63720703,4.383545,0.0,109900.0,330.7928466796875,14500.0,36.844166,10,8,2,0,0,0,14
16,2022-06-24 00:36:13.000,rhi,rhi,hou-rhi-cell-track-05-deg,331.9574,331.9574,0.63720703,4.383545,0.0,109900.0,331.9573974609375,48500.0,14.837231,1,1,0,0,0,0,1
17,2022-06-24 00:36:27.000,rhi,rhi,hou-rhi-cell-track-05-deg,331.73767,331.73767,0.63720703,4.383545,0.0,109900.0,331.7376708984375,14700.0,25.815617,9,7,0,0,0,0,9
18,2022-06-24 00:36:43.000,rhi,rhi,hou-rhi-cell-track-05-deg,331.51794,331.51794,0.63720703,4.383545,0.0,109900.0,331.5179443359375,14700.0,32.04557,10,8,2,0,0,0,11
19,2022-06-24 00:36:56.000,ppi,ppi,hou-ppi-cell-track-05-deg,325.65125,335.85754,2.9992676,4.01001,0.0,109900.0,330.89996337890625,3000.0,29.070297,14,4,0,0,0,0,43
20,2022-06-24 00:37:26.000,rhi,rhi,hou-rhi-cell-track-05-deg,330.72693,330.72693,0.63720703,4.383545,0.0,109900.0,330.7269287109375,3000.0,16.926437,3,1,0,0,0,0,4
21,2022-06-24 00:37:43.000,rhi,rhi,hou-rhi-cell-track-05-deg,331.91345,331.91345,0.63720703,4.383545,0.0,109900.0,331.9134521484375,15000.0,12.849457,2,2,0,0,0,0,3
22,2022-06-24 00:37:56.000,rhi,rhi,hou-rhi-cell-track-05-deg,330.9906,330.9906,0.63720703,4.383545,0.0,109900.0,330.9906005859375,50300.0,26.185463,6,5,0,0,0,0,8
23,2022-06-24 00:38:13.000,rhi,rhi,hou-rhi-cell-track-05-deg,329.40857,329.40857,0.63720703,4.383545,0.0,109900.0,329.4085693359375,3000.0,4.2061577,6,0,0,0,0,0,6
24,2022-06-24 00:38:24.000,ppi,ppi,hou-ppi-cell-track-05-deg,325.6183,335.6488,3.0212402,3.988037,0.0,109900.0,332.91046142578125,15300.0,29.752323,43,19,0,0,1,0,74
25,2022-06-24 00:38:55.000,rhi,rhi,hou-rhi-cell-track-05-deg,330.70496,330.70496,0.63720703,4.383545,0.0,109900.0,330.7049560546875,3000.0,19.117718,7,2,0,0,0,0,12
26,2022-06-24 00:40:13.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.51599,0.7800293,182.99927,0.0,109900.0,144.4866943359375,10700.0,13.380114,270,1,0,0,1,0,772
27,2022-06-24 00:44:56.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.12195,0.7800293,178.78052,0.0,109900.0,63.1219482421875,3500.0,7.964611,13,0,0,0,0,0,75
28,2022-06-24 00:50:26.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7800293,182.99927,0.0,109900.0,114.4720458984375,1000.0,22.83842,295,3,0,0,0,0,792
29,2022-06-24 00:55:08.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.78052,0.0,109900.0,63.0999755859375,4100.0,7.279312,13,0,0,0,0,0,71
30,2022-06-24 00:56:00.000,ppi,ppi,hou-ppi-tracer,0.5328369,359.58527,0.38452148,3.1201172,0.0,109900.0,55.5523681640625,51300.0,18.50121,650,613,0,0,0,0,651
31,2022-06-24 00:57:58.000,vpt,vpt,hou-vpt-tracer,0.5767822,359.54132,89.714355,90.076904,0.0,19900.0,135.5657958984375,3900.0,12.477455,216,9,0,0,0,0,950
32,2022-06-24 01:00:15.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7800293,182.99927,0.0,109900.0,114.4940185546875,5500.0,16.771004,151,1,0,0,0,0,631
33,2022-06-24 01:04:55.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.7915,0.0,109900.0,63.0999755859375,6300.0,35.45306,3,2,1,0,0,0,54
34,2022-06-24 01:05:48.000,ppi,ppi,hou-ppi-tracer,0.54382324,359.5633,0.38452148,3.1091309,0.0,109900.0,54.5635986328125,43800.0,16.189625,235,214,0,0,0,0,235
35,2022-06-24 01:07:46.000,vpt,vpt,hou-vpt-tracer,0.5657959,359.54132,89.69238,90.076904,0.0,19900.0,166.5802001953125,2900.0,8.015659,239,0,0,0,0,0,859
36,2022-06-24 01:10:27.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.62585,0.7800293,182.99927,0.0,109900.0,174.4793701171875,3000.0,12.0517025,253,2,0,0,0,0,762
37,2022-06-24 01:15:10.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.75854,0.0,109900.0,63.0999755859375,1700.0,3.6010418,5,0,0,0,0,0,61
38,2022-06-24 01:16:03.000,ppi,ppi,hou-ppi-tracer,0.5328369,359.54132,0.38452148,3.1530762,0.0,109900.0,54.5855712890625,38100.0,13.799564,236,168,0,0,0,0,236
39,2022-06-24 01:18:01.000,vpt,vpt,hou-vpt-tracer,0.5767822,359.54132,89.69238,90.076904,0.0,19900.0,300.52276611328125,2700.0,12.093235,342,43,0,0,0,0,1087
40,2022-06-24 01:20:13.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7800293,182.99927,0.0,109900.0,174.4793701171875,4200.0,11.391405,302,1,0,0,0,0,910
41,2022-06-24 01:24:56.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.78052,0.0,109900.0,63.0999755859375,3100.0,3.492424,9,0,0,0,0,0,64
42,2022-06-24 01:25:48.000,ppi,ppi,hou-ppi-tracer,0.5218506,359.58527,0.38452148,3.1311035,0.0,109900.0,19.5172119140625,6200.0,15.406445,214,75,0,0,0,0,214
43,2022-06-24 01:27:46.000,vpt,vpt,hou-vpt-tracer,0.5767822,359.54132,89.69238,90.076904,0.0,19900.0,155.5499267578125,3600.0,11.507816,422,14,0,0,0,0,1145
44,2022-06-24 01:30:27.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.60388,0.7800293,182.99927,0.0,109900.0,174.4793701171875,4500.0,12.119125,411,6,0,0,0,0,1100
45,2022-06-24 01:35:07.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.7915,0.0,109900.0,63.0999755859375,3400.0,5.914919,12,0,0,0,0,0,76
46,2022-06-24 01:36:00.000,ppi,ppi,hou-ppi-tracer,0.53009033,359.5523,0.38452148,3.1091309,0.0,109900.0,53.5418701171875,24500.0,8.7321205,12,0,0,0,0,0,12
47,2022-06-24 01:37:58.000,vpt,vpt,hou-vpt-tracer,0.5657959,359.54132,89.73633,90.076904,0.0,19900.0,161.5155029296875,2700.0,13.4366,483,57,0,0,0,0,1009
48,2022-06-24 01:40:15.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.61487,0.7800293,182.99927,0.0,109900.0,144.4866943359375,3200.0,13.185396,635,15,0,0,0,0,1635
49,2022-06-24 01:44:57.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.12195,0.7910156,178.76953,0.0,109900.0,63.1219482421875,2200.0,7.2703857,34,0,0,0,0,0,207
50,2022-06-24 01:45:49.000,ppi,ppi,hou-ppi-tracer,0.5218506,359.5523,0.38452148,3.1311035,0.0,109900.0,359.5166015625,7500.0,3.1332893,1,0,0,0,0,0,1
51,2022-06-24 01:47:48.000,vpt,vpt,hou-vpt-tracer,0.54382324,359.5633,89.69238,90.076904,0.0,19900.0,341.55670166015625,700.0,16.54179,522,17,0,0,0,0,1422
52,2022-06-24 01:50:26.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.51599,0.7800293,182.99927,0.0,109900.0,144.4866943359375,2600.0,12.489819,389,11,0,0,0,0,1084
53,2022-06-24 01:54:53.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.76953,0.0,109900.0,63.0999755859375,2700.0,5.0704765,17,0,0,0,0,0,146
54,2022-06-24 01:55:46.000,ppi,ppi,hou-ppi-tracer,0.5218506,359.5523,0.38452148,3.1311035,0.0,109900.0,,,,0,0,0,0,0,0,0
55,2022-06-24 01:57:44.000,vpt,vpt,hou-vpt-tracer,0.5767822,359.54132,89.63745,90.06592,0.0,19900.0,282.52716064453125,1800.0,14.500942,330,24,0,0,0,0,762
56,2022-06-24 02:00:28.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.62585,0.7800293,182.99927,0.0,109900.0,144.4866943359375,2100.0,12.344425,401,7,0,0,0,0,1187
57,2022-06-24 02:04:50.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.78052,0.0,109900.0,63.0780029296875,3900.0,3.7524872,15,0,0,0,0,0,129
58,2022-06-24 02:05:43.000,ppi,ppi,hou-ppi-tracer,0.54382324,359.5633,0.38452148,3.1091309,0.0,109900.0,,,,0,0,0,0,0,0,0
59,2022-06-24 02:07:41.000,vpt,vpt,hou-vpt-tracer,0.5548096,359.57428,89.69238,90.06592,0.0,19900.0,158.5601806640625,2700.0,9.66877,402,0,0,0,0,0,1364
60,2022-06-24 02:10:25.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.62585,0.7800293,182.99927,0.0,109900.0,174.4793701171875,1300.0,13.194408,512,21,0,0,0,0,1394
61,2022-06-24 02:15:07.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.12195,0.76904297,178.76953,0.0,109900.0,63.0780029296875,1300.0,8.351597,7,0,0,0,0,0,89
62,2022-06-24 02:15:59.000,ppi,ppi,hou-ppi-tracer,0.519104,359.5523,0.38452148,3.1091309,0.0,109900.0,,,,0,0,0,0,0,0,0
63,2022-06-24 02:17:58.000,vpt,vpt,hou-vpt-tracer,0.552063,359.5166,89.70337,90.076904,0.0,19900.0,185.5206298828125,600.0,26.543137,748,70,0,0,0,0,1727
64,2022-06-24 02:20:16.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.46472,204.51599,0.7910156,182.99927,0.0,109900.0,174.4793701171875,1100.0,12.097557,301,13,0,0,0,0,959
65,2022-06-24 02:24:59.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.76953,0.0,109900.0,63.0999755859375,2600.0,3.7812614,4,0,0,0,0,0,57
66,2022-06-24 02:25:51.000,ppi,ppi,hou-ppi-tracer,0.54107666,359.5633,0.38452148,3.1091309,0.0,109900.0,,,,0,0,0,0,0,0,0
67,2022-06-24 02:27:50.000,vpt,vpt,hou-vpt-tracer,0.5987549,359.5523,89.69238,90.06592,0.0,19900.0,178.5662841796875,1100.0,12.74118,364,27,0,0,0,0,1008
68,2022-06-24 02:30:24.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.60388,0.7800293,182.99927,0.0,109900.0,54.5086669921875,600.0,25.6635,143,3,0,0,0,0,615
69,2022-06-24 02:35:06.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7910156,178.75854,0.0,109900.0,63.0780029296875,2000.0,3.575182,7,0,0,0,0,0,48
70,2022-06-24 02:35:58.000,ppi,ppi,hou-ppi-tracer,0.51086426,359.54956,0.38452148,3.1311035,0.0,109900.0,,,,0,0,0,0,0,0,0
71,2022-06-24 02:37:57.000,vpt,vpt,hou-vpt-tracer,0.57403564,359.5166,89.70337,90.076904,0.0,19900.0,48.5870361328125,800.0,30.996876,193,47,4,0,0,0,570
72,2022-06-24 02:40:17.000,hsrhi,hsrhi,hou-hsrhi-tracer-vol,54.486694,204.51599,0.7800293,182.99927,0.0,109900.0,54.4866943359375,800.0,18.29292,119,4,0,0,0,0,487
73,2022-06-24 02:44:59.000,hsrhi,hsrhi,hou-hsrhi-tracer-anc,63.078003,63.099976,0.7800293,178.75854,0.0,109900.0,63.0999755859375,3200.0,5.5295677,4,0,0,0,0,0,34
74,2022-06-24 02:45:51.000,ppi,ppi,hou-ppi-tracer,0.54107666,359.58527,0.38452148,3.1091309,0.0,109900.0,,,,0,0,0,0,0,0,0
