,time,scan_mode,scan_name,template_name,azimuth_min,azimuth_max,elevation_min,elevation_max,range_min,range_max,cell_azimuth,cell_range,cell_zh,ngates_gt_0,ngates_gt_10,ngates_gt_30,ngates_gt_50,ngates_gt_10_5km,ngates_gt40_5km,ngates
0,2022-08-21 00:00:05,rhi,rhi,hou-rhi-cell-track-40-deg,55.233765,55.233765,0.6591797,39.396973,0.0,109900.0,55.2337646484375,53000.0,31.52275,543,512,4,0,92,0,606
1,2022-08-21 00:00:27,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.64819336,39.418945,0.0,109900.0,60.0018310546875,52700.0,30.909592,287,262,1,0,241,0,349
2,2022-08-21 00:00:49,rhi,rhi,hou-rhi-cell-track-40-deg,50.509644,50.509644,0.670166,39.418945,0.0,109900.0,50.5096435546875,53800.0,25.376274,265,247,0,0,13,0,338
3,2022-08-21 00:01:09,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.023804,0.68115234,39.418945,0.0,109900.0,60.0128173828125,52200.0,28.232422,268,238,0,0,226,0,353
4,2022-08-21 00:01:30,rhi,rhi,hou-rhi-cell-track-40-deg,50.509644,50.509644,0.64819336,39.40796,0.0,109900.0,50.5096435546875,55100.0,22.441402,172,155,0,0,3,0,254
5,2022-08-21 00:01:46,ppi,ppi,hou-ppi-cell-track-40-deg,40.17151,70.32898,2.9992676,30.003662,0.0,109900.0,43.1488037109375,50000.0,51.94974,2719,2666,576,2,0,0,2902
6,2022-08-21 00:02:27,rhi,rhi,hou-rhi-cell-track-40-deg,55.167847,55.211792,0.670166,39.40796,0.0,109900.0,55.1898193359375,53800.0,29.044163,440,417,0,0,76,0,514
7,2022-08-21 00:02:51,rhi,rhi,hou-rhi-cell-track-40-deg,55.233765,55.233765,0.68115234,39.385986,0.0,109900.0,55.2337646484375,53800.0,27.128666,439,410,0,0,76,0,510
8,2022-08-21 00:03:10,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.023804,0.63720703,39.396973,0.0,109900.0,60.0018310546875,54000.0,30.73212,163,132,2,0,113,0,224
9,2022-08-21 00:03:29,rhi,rhi,hou-rhi-cell-track-40-deg,47.301636,47.301636,0.6591797,39.396973,0.0,109900.0,47.3016357421875,50700.0,37.129307,904,884,45,0,368,0,994
10,2022-08-21 00:03:50,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.023804,0.64819336,39.418945,0.0,109900.0,60.0238037109375,54200.0,30.79287,172,143,2,0,95,0,255
11,2022-08-21 00:04:10,rhi,rhi,hou-rhi-cell-track-40-deg,47.25769,47.279663,0.670166,39.418945,0.0,109900.0,47.2796630859375,51900.0,37.151524,820,792,33,0,310,0,906
12,2022-08-21 00:04:26,ppi,ppi,hou-ppi-cell-track-40-deg,40.10559,70.339966,2.9992676,30.003662,0.0,109900.0,42.4127197265625,50900.0,52.430817,2291,2248,547,3,1,0,2437
13,2022-08-21 00:05:07,rhi,rhi,hou-rhi-cell-track-40-deg,55.145874,55.233765,0.6591797,39.42993,0.0,109900.0,55.1898193359375,54300.0,28.324623,394,361,0,0,80,0,432
14,2022-08-21 00:05:29,rhi,rhi,hou-rhi-cell-track-40-deg,55.233765,55.233765,0.64819336,39.385986,0.0,109900.0,55.2337646484375,54400.0,29.413525,402,376,0,0,87,0,475
15,2022-08-21 00:05:49,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.64819336,39.418945,0.0,109900.0,60.0018310546875,54400.0,25.454025,209,177,0,0,69,0,278
16,2022-08-21 00:06:12,rhi,rhi,hou-rhi-cell-track-40-deg,50.509644,50.509644,0.68115234,39.418945,0.0,109900.0,50.5096435546875,2100.0,18.080116,8,6,0,0,0,0,55
17,2022-08-21 00:06:35,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.023804,0.670166,39.440918,0.0,109900.0,60.0238037109375,54700.0,25.284546,244,212,0,0,97,0,307
18,2022-08-21 00:06:57,rhi,rhi,hou-rhi-cell-track-40-deg,50.509644,50.531616,0.6591797,39.396973,0.0,109900.0,50.5096435546875,2100.0,16.96953,14,2,0,0,0,0,56
19,2022-08-21 00:07:18,ppi,ppi,hou-ppi-cell-track-40-deg,40.094604,70.172424,2.9992676,30.003662,0.0,109900.0,43.1488037109375,53500.0,50.511795,2065,2019,529,1,0,0,2233
20,2022-08-21 00:07:58,rhi,rhi,hou-rhi-cell-track-40-deg,55.167847,55.233765,0.63720703,39.40796,0.0,109900.0,55.1898193359375,54900.0,34.95103,235,210,4,0,77,0,300
21,2022-08-21 00:08:21,rhi,rhi,hou-rhi-cell-track-40-deg,55.233765,55.233765,0.6591797,39.42993,0.0,109900.0,55.2337646484375,55900.0,29.393791,187,170,0,0,67,0,279
22,2022-08-21 00:08:43,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.670166,39.396973,0.0,109900.0,60.0018310546875,50600.0,25.612263,243,208,0,0,124,0,321
23,2022-08-21 00:09:06,rhi,rhi,hou-rhi-cell-track-40-deg,52.487183,52.509155,0.670166,39.385986,0.0,109900.0,52.5091552734375,53700.0,22.389488,24,11,0,0,10,0,85
24,2022-08-21 00:09:26,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.68115234,39.418945,0.0,109900.0,60.0018310546875,51600.0,25.347542,211,180,0,0,116,0,277
25,2022-08-21 00:09:46,rhi,rhi,hou-rhi-cell-track-40-deg,52.487183,52.509155,0.6591797,39.396973,0.0,109900.0,52.5091552734375,54000.0,21.762085,28,14,0,0,8,0,93
26,2022-08-21 00:10:01,ppi,ppi,hou-ppi-cell-track-40-deg,40.10559,70.339966,2.9992676,30.003662,0.0,109900.0,42.6873779296875,54200.0,52.05281,1793,1756,495,2,0,0,1946
27,2022-08-21 00:10:42,rhi,rhi,hou-rhi-cell-track-40-deg,55.18982,55.233765,0.6591797,39.396973,0.0,109900.0,55.1898193359375,56200.0,33.014812,232,207,14,0,76,0,310
28,2022-08-21 00:11:06,rhi,rhi,hou-rhi-cell-track-40-deg,55.233765,55.233765,0.6591797,39.42993,0.0,109900.0,55.2337646484375,56800.0,32.110806,213,189,15,0,70,0,283
29,2022-08-21 00:11:25,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.64819336,39.418945,0.0,109900.0,60.0018310546875,51200.0,25.239029,194,157,0,0,140,0,326
30,2022-08-21 00:11:46,rhi,rhi,hou-rhi-cell-track-40-deg,55.03601,55.03601,0.6591797,39.396973,0.0,109900.0,55.0360107421875,56500.0,34.41308,202,190,11,0,56,0,283
31,2022-08-21 00:12:05,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.023804,0.64819336,39.396973,0.0,109900.0,60.0018310546875,52100.0,25.255226,176,147,0,0,131,0,280
32,2022-08-21 00:12:26,rhi,rhi,hou-rhi-cell-track-40-deg,55.014038,55.03601,0.6591797,39.42993,0.0,109900.0,55.0250244140625,56400.0,34.54469,202,181,15,0,32,0,287
33,2022-08-21 00:12:44,ppi,ppi,hou-ppi-cell-track-40-deg,40.094604,70.339966,2.9992676,30.003662,0.0,109900.0,42.6544189453125,55400.0,48.22821,1605,1545,493,0,12,0,1765
34,2022-08-21 00:13:24,rhi,rhi,hou-rhi-cell-track-40-deg,55.145874,55.233765,0.6591797,39.396973,0.0,109900.0,55.1898193359375,52900.0,36.30747,239,217,19,0,33,0,333
35,2022-08-21 00:13:45,rhi,rhi,hou-rhi-cell-track-40-deg,55.233765,55.233765,0.670166,39.418945,0.0,109900.0,55.2337646484375,56800.0,33.22841,235,217,25,0,34,0,313
36,2022-08-21 00:14:06,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.64819336,39.440918,0.0,109900.0,60.0018310546875,52900.0,28.152187,167,134,0,0,110,0,239
37,2022-08-21 00:14:24,rhi,rhi,hou-rhi-cell-track-40-deg,57.035522,57.057495,0.63720703,39.40796,0.0,109900.0,57.0355224609375,54700.0,33.274433,124,96,3,0,50,0,191
38,2022-08-21 00:14:45,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.64819336,39.418945,0.0,109900.0,60.0018310546875,51300.0,30.181568,199,159,1,0,115,0,281
39,2022-08-21 00:15:06,rhi,rhi,hou-rhi-cell-track-40-deg,57.035522,57.035522,0.63720703,39.40796,0.0,109900.0,57.0355224609375,55900.0,32.819435,121,90,5,0,37,0,192
40,2022-08-21 00:15:22,ppi,ppi,hou-ppi-cell-track-40-deg,40.094604,70.339966,2.9992676,30.003662,0.0,109900.0,42.0941162109375,55900.0,48.598022,1804,1748,488,0,19,0,1977
41,2022-08-21 00:16:02,rhi,rhi,hou-rhi-cell-track-40-deg,55.211792,55.27771,0.64819336,39.418945,0.0,109900.0,55.2557373046875,53600.0,34.577675,325,307,15,0,8,0,385
42,2022-08-21 00:16:26,rhi,rhi,hou-rhi-cell-track-40-deg,55.211792,55.211792,0.6591797,39.42993,0.0,109900.0,55.2117919921875,57300.0,31.91035,312,302,12,0,2,0,365
43,2022-08-21 00:16:45,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.64819336,39.418945,0.0,109900.0,60.0018310546875,51900.0,27.634438,124,97,0,0,73,0,218
44,2022-08-21 00:17:04,rhi,rhi,hou-rhi-cell-track-40-deg,59.694214,59.716187,0.64819336,39.418945,0.0,109900.0,59.6942138671875,53500.0,33.73771,106,64,2,0,51,0,176
45,2022-08-21 00:17:24,rhi,rhi,hou-rhi-cell-track-40-deg,60.00183,60.00183,0.670166,39.40796,0.0,109900.0,60.0018310546875,52600.0,29.720291,99,72,0,0,54,0,196
46,2022-08-21 00:17:44,rhi,rhi,hou-rhi-cell-track-40-deg,59.694214,59.694214,0.64819336,39.40796,0.0,109900.0,59.6942138671875,54000.0,31.109264,87,52,1,0,37,0,157
47,2022-08-21 00:18:01,ppi,ppi,hou-ppi-cell-track-40-deg,40.094604,70.18341,3.0212402,30.003662,0.0,109900.0,42.5994873046875,56900.0,44.569656,2219,2183,418,0,19,0,2393
48,2022-08-21 00:18:43,rhi,rhi,hou-rhi-cell-track-40-deg,55.211792,55.255737,0.670166,39.40796,0.0,109900.0,55.2557373046875,54700.0,31.059792,422,398,2,0,8,0,500
