,time,scan_mode,scan_name,template_name,azimuth_min,azimith_max,elevation_min,elevation_max,cell_azimuth,cell_range,cell_zh
0,2022-07-15 19:25:51,ppi,ppi,hou-ppi-cell-track-07-deg,103.8482666015625,113.9007568359375,2.977294921875,4.998779296875,,,
1,2022-07-15 19:26:22,rhi,rhi,hou-rhi-cell-track-07-deg,108.8909912109375,108.8909912109375,0.63720703125,6.39404296875,,,
2,2022-07-15 19:26:36,rhi,rhi,hou-rhi-cell-track-07-deg,109.0887451171875,109.0997314453125,0.648193359375,6.383056640625,,,
3,2022-07-15 19:26:49,rhi,rhi,hou-rhi-cell-track-07-deg,110.0555419921875,110.0555419921875,0.63720703125,6.39404296875,,,
4,2022-07-15 19:27:05,rhi,rhi,hou-rhi-cell-track-07-deg,107.7264404296875,107.7264404296875,0.648193359375,6.383056640625,,,
5,2022-07-15 19:27:19,ppi,ppi,hou-ppi-cell-track-07-deg,102.6507568359375,112.9010009765625,2.999267578125,5.020751953125,,,
6,2022-07-15 19:27:48,rhi,rhi,hou-rhi-cell-track-07-deg,107.7044677734375,107.7484130859375,0.648193359375,6.39404296875,,,
7,2022-07-15 19:28:05,rhi,rhi,hou-rhi-cell-track-07-deg,107.8582763671875,107.8582763671875,0.648193359375,6.39404296875,,,
8,2022-07-15 19:28:20,rhi,rhi,hou-rhi-cell-track-07-deg,108.9129638671875,108.9129638671875,0.648193359375,6.383056640625,,,
9,2022-07-15 19:28:34,rhi,rhi,hou-rhi-cell-track-07-deg,106.5948486328125,106.6058349609375,0.63720703125,6.39404296875,,,
10,2022-07-15 19:28:50,ppi,ppi,hou-ppi-cell-track-07-deg,102.1124267578125,112.1539306640625,2.999267578125,4.976806640625,,,
11,2022-07-15 19:29:20,rhi,rhi,hou-rhi-cell-track-07-deg,107.1331787109375,107.1551513671875,0.63720703125,6.383056640625,,,
12,2022-07-15 19:29:34,rhi,rhi,hou-rhi-cell-track-07-deg,107.3089599609375,107.3089599609375,0.63720703125,6.39404296875,,,
13,2022-07-15 19:29:51,rhi,rhi,hou-rhi-cell-track-07-deg,108.3416748046875,108.3636474609375,0.648193359375,6.39404296875,,,
14,2022-07-15 19:30:05,rhi,rhi,hou-rhi-cell-track-07-deg,105.9466552734375,105.9466552734375,0.648193359375,6.383056640625,,,
15,2022-07-15 19:30:20,ppi,ppi,hou-ppi-cell-track-07-deg,100.8929443359375,111.1322021484375,2.999267578125,4.976806640625,,,
