,time,scan_mode,scan_name,template_name,azimuth_min,azimuth_max,elevation_min,elevation_max,range_min,range_max,cell_azimuth,cell_range,cell_zh,ngates_gt_0,ngates_gt_10,ngates_gt_30,ngates_gt_50,ngates_gt_10_5km,ngates_gt40_5km,ngates
0,2022-06-30 00:00:18,rhi,rhi,hou-rhi-cell-track-25-deg,81.44714,81.46912,0.64819336,24.389648,0.0,109900.0,81.4471435546875,9700.0,32.137623,5008,3671,9,0,"<xarray.DataArray 'reflectivity' ()>
array(173)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(5244)"
1,2022-06-30 00:00:37,rhi,rhi,hou-rhi-cell-track-25-deg,75.997925,76.04187,0.670166,24.411621,0.0,109900.0,75.9979248046875,93400.0,36.68263,3406,2331,40,0,"<xarray.DataArray 'reflectivity' ()>
array(72)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(3572)"
2,2022-06-30 00:08:22,ppi,ppi,hou-ppi-cell-track-07-deg,347.3465,357.399,2.9992676,5.020752,0.0,109900.0,355.38848876953125,2900.0,15.482258,49,12,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(74)"
3,2022-06-30 00:08:52,rhi,rhi,hou-rhi-cell-track-07-deg,352.2821,352.2821,0.63720703,6.3830566,0.0,109900.0,352.2821044921875,2900.0,24.204117,5,2,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(5)"
4,2022-06-30 00:09:06,rhi,rhi,hou-rhi-cell-track-07-deg,350.5902,350.5902,0.64819336,6.394043,0.0,109900.0,350.5902099609375,4200.0,8.470209,3,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(10)"
5,2022-06-30 00:09:21,rhi,rhi,hou-rhi-cell-track-07-deg,353.8202,353.8202,0.64819336,6.394043,0.0,109900.0,353.8201904296875,600.0,13.022236,3,3,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(6)"
6,2022-06-30 00:09:35,rhi,rhi,hou-rhi-cell-track-07-deg,350.72205,350.766,0.64819336,6.394043,0.0,109900.0,350.7659912109375,2900.0,0.6836891,1,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(5)"
7,2022-06-30 00:09:49,ppi,ppi,hou-ppi-cell-track-07-deg,346.39343,356.64368,2.9992676,5.020752,0.0,109900.0,355.10284423828125,2900.0,20.184597,37,14,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(59)"
8,2022-06-30 00:10:19,rhi,rhi,hou-rhi-cell-track-07-deg,351.4911,351.4911,0.63720703,6.3830566,0.0,109900.0,351.4910888671875,2900.0,40.233532,3,2,1,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(4)"
9,2022-06-30 00:10:37,rhi,rhi,hou-rhi-cell-track-07-deg,349.8871,349.8871,0.64819336,6.3830566,0.0,109900.0,349.8870849609375,3700.0,20.624016,7,2,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(13)"
10,2022-06-30 00:10:50,rhi,rhi,hou-rhi-cell-track-07-deg,353.04565,353.04565,0.63720703,6.394043,0.0,109900.0,353.045654296875,600.0,3.2480106,2,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(7)"
11,2022-06-30 00:11:05,rhi,rhi,hou-rhi-cell-track-07-deg,349.953,349.97498,0.63720703,6.3830566,0.0,109900.0,349.9749755859375,2900.0,3.0996056,7,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(20)"
12,2022-06-30 00:11:19,ppi,ppi,hou-ppi-cell-track-07-deg,345.8661,355.8966,2.9992676,5.020752,0.0,109900.0,355.14404296875,66200.0,24.075779,61,27,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(89)"
13,2022-06-30 00:11:49,rhi,rhi,hou-rhi-cell-track-07-deg,350.766,350.766,0.63720703,6.3830566,0.0,109900.0,350.7659912109375,3100.0,-12.323879,0,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(1)"
14,2022-06-30 00:12:04,rhi,rhi,hou-rhi-cell-track-07-deg,349.11255,349.11255,0.64819336,6.3830566,0.0,109900.0,349.112548828125,3200.0,17.40107,5,1,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(10)"
15,2022-06-30 00:12:20,rhi,rhi,hou-rhi-cell-track-07-deg,352.30408,352.32605,0.64819336,6.394043,0.0,109900.0,352.3150634765625,2900.0,24.133846,4,2,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(6)"
16,2022-06-30 00:12:37,rhi,rhi,hou-rhi-cell-track-07-deg,349.26636,349.26636,0.64819336,6.394043,0.0,109900.0,349.266357421875,2900.0,11.370289,3,1,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(4)"
17,2022-06-30 00:12:51,ppi,ppi,hou-ppi-cell-track-07-deg,345.35797,355.41046,2.9992676,5.020752,0.0,109900.0,354.3914794921875,66000.0,23.745056,42,23,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(64)"
18,2022-06-30 00:13:20,rhi,rhi,hou-rhi-cell-track-07-deg,350.37048,350.39246,0.64819336,6.3830566,0.0,109900.0,350.3704833984375,2900.0,2.7168694,1,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(8)"
19,2022-06-30 00:13:36,rhi,rhi,hou-rhi-cell-track-07-deg,348.94226,348.94226,0.64819336,6.394043,0.0,109900.0,348.9422607421875,2900.0,10.698078,3,1,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(8)"
20,2022-06-30 00:13:51,rhi,rhi,hou-rhi-cell-track-07-deg,351.90857,351.90857,0.64819336,6.3830566,0.0,109900.0,351.9085693359375,2900.0,40.26326,2,2,1,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(2)"
21,2022-06-30 00:14:05,rhi,rhi,hou-rhi-cell-track-07-deg,348.85437,348.89832,0.64819336,6.394043,0.0,109900.0,348.8543701171875,2900.0,11.995163,6,1,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(15)"
22,2022-06-30 00:14:23,ppi,ppi,hou-ppi-cell-track-07-deg,344.60266,354.64417,2.9992676,5.020752,0.0,109900.0,354.1387939453125,65700.0,22.184708,31,14,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(59)"
23,2022-06-30 00:14:52,rhi,rhi,hou-rhi-cell-track-07-deg,349.5465,349.57947,0.63720703,6.3830566,0.0,109900.0,349.5794677734375,4900.0,9.867088,5,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(8)"
24,2022-06-30 00:15:07,rhi,rhi,hou-rhi-cell-track-07-deg,347.8656,347.88757,0.63720703,6.394043,0.0,109900.0,347.8875732421875,4200.0,5.890642,2,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(8)"
25,2022-06-30 00:15:20,rhi,rhi,hou-rhi-cell-track-07-deg,351.0901,351.11206,0.64819336,6.394043,0.0,109900.0,351.090087890625,3900.0,8.400246,2,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(4)"
26,2022-06-30 00:15:36,rhi,rhi,hou-rhi-cell-track-07-deg,348.06335,348.06335,0.63720703,6.394043,0.0,109900.0,348.0633544921875,800.0,-1.5325012,0,0,0,0,"<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(3)"
27,2022-06-30 00:15:52,ppi,ppi,hou-ppi-cell-track-15-deg,290.83557,305.9088,2.977295,12.008057,0.0,109900.0,298.6138916015625,48700.0,48.588955,1744,1637,479,0,"<xarray.DataArray 'reflectivity' ()>
array(248)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(1769)"
28,2022-06-30 00:16:20,rhi,rhi,hou-rhi-cell-track-15-deg,298.2953,298.33923,0.6591797,14.4140625,0.0,109900.0,298.3392333984375,48700.0,49.22208,679,626,222,0,"<xarray.DataArray 'reflectivity' ()>
array(92)","<xarray.DataArray 'reflectivity' ()>
array(0)","<xarray.DataArray 'reflectivity' ()>
array(698)"
