,time,scan_mode,scan_name,template_name,azimuth_min,azimuth_max,elevation_min,elevation_max,range_min,range_max,cell_azimuth,cell_range,cell_zh,ngates_gt_0,ngates_gt_10,ngates_gt_30,ngates_gt_50,ngates_gt_10_5km,ngates_gt40_5km,ngates
0,2022-08-05 00:00:03,rhi,rhi,hou-rhi-cell-track-07-deg,325.25024,325.25024,0.64819336,6.394043,0.0,109900.0,325.250244140625,52300.0,32.28606,354,354,3,0,0,0,354
1,2022-08-05 00:00:12,ppi,ppi,hou-ppi-cell-track-07-deg,318.10364,328.13416,2.9992676,5.020752,0.0,109900.0,324.5855712890625,52500.0,30.350262,329,326,3,0,0,0,334
2,2022-08-05 00:00:42,rhi,rhi,hou-rhi-cell-track-07-deg,325.25024,325.27222,0.63720703,6.3830566,0.0,109900.0,325.250244140625,52300.0,29.246525,300,299,0,0,0,0,303
3,2022-08-05 00:00:57,rhi,rhi,hou-rhi-cell-track-07-deg,324.46472,324.50867,0.63720703,6.3830566,0.0,109900.0,324.4757080078125,52300.0,30.90002,360,358,8,0,0,0,366
4,2022-08-05 00:08:08,ppi,ppi,hou-ppi-cell-track-10-deg,317.8839,328.0902,2.9992676,6.998291,0.0,109900.0,320.91339111328125,34100.0,21.212627,24,9,0,0,0,0,40
5,2022-08-05 00:08:33,rhi,rhi,hou-rhi-cell-track-10-deg,322.99255,323.00903,0.6591797,9.404297,0.0,109900.0,323.009033203125,52400.0,20.218634,20,12,0,0,0,0,27
6,2022-08-05 00:08:49,rhi,rhi,hou-rhi-cell-track-10-deg,324.5526,324.5526,0.64819336,9.382324,0.0,109900.0,324.5526123046875,3000.0,10.737251,9,1,0,0,0,0,20
7,2022-08-05 00:09:03,rhi,rhi,hou-rhi-cell-track-10-deg,319.52087,319.56482,0.64819336,9.382324,0.0,109900.0,319.5208740234375,51800.0,19.353504,45,44,0,0,0,0,48
8,2022-08-05 00:09:18,rhi,rhi,hou-rhi-cell-track-10-deg,319.47693,319.47693,0.64819336,9.404297,0.0,109900.0,319.4769287109375,52100.0,20.005932,52,51,0,0,0,0,53
9,2022-08-05 00:09:32,ppi,ppi,hou-ppi-cell-track-10-deg,317.6422,327.66174,2.9992676,7.0202637,0.0,109900.0,321.8939208984375,39200.0,21.650063,33,19,0,0,0,0,47
10,2022-08-05 00:09:58,rhi,rhi,hou-rhi-cell-track-10-deg,322.68494,322.72888,0.6591797,9.404297,0.0,109900.0,322.7069091796875,7900.0,3.680439,1,0,0,0,0,0,8
11,2022-08-05 00:10:14,rhi,rhi,hou-rhi-cell-track-10-deg,324.245,324.26697,0.64819336,9.393311,0.0,109900.0,324.2669677734375,16600.0,16.150013,10,2,0,0,0,0,19
12,2022-08-05 00:10:29,rhi,rhi,hou-rhi-cell-track-10-deg,319.20776,319.20776,0.64819336,9.404297,0.0,109900.0,319.207763671875,33900.0,25.115406,22,18,0,0,0,0,26
13,2022-08-05 00:10:43,rhi,rhi,hou-rhi-cell-track-10-deg,319.30115,319.30115,0.64819336,9.393311,0.0,109900.0,319.3011474609375,26900.0,31.95409,16,11,1,0,0,0,22
14,2022-08-05 00:10:59,ppi,ppi,hou-ppi-cell-track-10-deg,317.58728,327.67273,2.9992676,6.998291,0.0,109900.0,318.8397216796875,33800.0,25.881912,23,11,0,0,0,0,39
